lambda1,P11_Pow(I1),P11_Pow(I2),P11_Exp(I1),P11_Exp(I2),P11_Pow(I4),P11_Pow(I6),P11_Exp(I4),P11_Exp(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Exp(I1),P22_Exp(I2),P22_Pow(I4),P22_Pow(I6),P22_Exp(I4),P22_Exp(I6)
1.0262626262626262,1.3088951652869054e-05,2.3935105382084237e-05,1.1788609709733138e-06,7.643077057825104e-07,2.179731491601985e-05,0.0016970808615939144,9.310074580351745e-06,0.005769362336797194,1.0262626262626262,1.963342747930358e-06,3.5902658073109876e-06,1.7682914564599709e-07,1.146461558672985e-07,0.0,0.0,0.0,0.0
1.0282828282828282,1.9136277450169763e-05,3.5644015153399666e-05,1.7179813079296758e-06,1.1416693950251199e-06,2.3482958122075293e-05,0.0018163467424772463,1.003300698476596e-05,0.0061623814532836,1.0282828282828282,2.8704416175254647e-06,5.346602273005076e-06,2.576971961894514e-07,1.7125040925360048e-07,0.0,0.0,0.0,0.0
1.0303030303030303,2.724629653853948e-05,5.1610486683912005e-05,2.438745505723082e-06,1.657739925905952e-06,2.5169868793343923e-05,0.001934117076818358,1.075691211222546e-05,0.0065488817587469605,1.0303030303030303,4.0869444807795865e-06,7.741573002581492e-06,3.6581182585838427e-07,2.486609888856803e-07,0.0,0.0,0.0,0.0
1.0323232323232323,3.790901996077676e-05,7.29235505308505e-05,3.3836230611932453e-06,2.3484809673888243e-06,2.6858045394825424e-05,0.002050413495665966,1.1481791021325435e-05,0.0069289960195973235,1.0323232323232323,5.68635299411732e-06,1.0938532579624315e-05,5.075434591789867e-07,3.5227214510826835e-07,0.0,0.0,0.0,0.0
1.0343434343434343,5.168677923859845e-05,0.00010084798542967695,4.601204818083975e-06,3.2557673990590596e-06,2.8547486396379522e-05,0.002165257275748029,1.2207644776440925e-05,0.0073028537769033106,1.0343434343434343,7.753016885787799e-06,1.5127197814442037e-05,6.901807227123653e-07,4.883651098585955e-07,0.0,0.0,0.0,0.0
1.0363636363636364,6.921913185763823e-05,0.0001368376678197993,6.146597779326698e-06,4.427852262741504e-06,3.023819027270214e-05,0.0022786693459520314,1.2934474447723955e-05,0.007670581437403758,1.0363636363636364,1.0382869778646914e-05,2.0525650172969897e-05,9.219896668990048e-07,6.641778394111454e-07,0.0,0.0,0.0,0.0
1.0383838383838384,9.122773358219473e-05,0.0001825487792737922,8.081815716283599e-06,5.919827925548668e-06,3.193015550329915e-05,0.002390670293674419,1.3662281111099438e-05,0.008032302361601639,1.0383838383838384,1.36841600373264e-05,2.7382316891062937e-05,1.2122723574422147e-06,8.87974188832105e-07,0.0,0.0,0.0,0.0
1.0404040404040404,0.0001185211769537017,0.00023985285099852963,1.0476165625136657e-05,7.794082625597221e-06,3.362338057246361e-05,0.002501280371042084,1.4391065848263113e-05,0.008388136949044868,1.0404040404040404,1.7778176543056922e-05,3.597792764976529e-05,1.5714248437703076e-06,1.1691123938390153e-06,0.0,0.0,0.0,0.0
1.0424242424242425,0.00015199979574125077,0.00031084962812376234,1.340663011407308e-05,1.0120751710580104e-05,3.531786396925051e-05,0.0026105195010087,1.5120829746678e-05,0.00873820272089406,1.0424242424242425,2.2799969361191468e-05,4.66274442185699e-05,2.0109945171114045e-06,1.5181127565872975e-06,0.0,0.0,0.0,0.0
1.0444444444444445,0.0001926604354508037,0.00039787973954440815,1.6958245834838803e-05,1.2978163003395422e-05,3.701360418745215e-05,0.0027184072833287033,1.5851573899572146e-05,0.009082614399873838,1.0444444444444445,2.8899065317620557e-05,5.968196093166123e-05,2.5437368752258206e-06,1.9467244505093136e-06,0.0,0.0,0.0,0.0
