lambda1,P11_Pow(I1),P11_Pow(I2),P11_Exp(I1),P11_Exp(I2),P11_Pow(I4),P11_Pow(I6),P11_Exp(I4),P11_Exp(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Exp(I1),P22_Exp(I2),P22_Pow(I4),P22_Pow(I6),P22_Exp(I4),P22_Exp(I6)
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0075376884422111,0.0010573461883189514,0.010761049311987736,8.048085394673471e-07,1.4430827655174548e-06,0.002755843259936566,0.002532880494106181,0.00029270977540570703,0.03390662157374025,1.0075376884422111,0.0010573461883189514,0.010761049311987847,8.048085394673471e-07,1.4430827655174548e-06,0.0,0.0,0.0,0.0
1.015075376884422,0.0021307298699509286,0.02148131463516012,1.620455972298386e-06,2.884163845046615e-06,0.0055601157471407425,0.004941406017949471,0.0005873741761225557,0.06346019666584451,1.015075376884422,0.0021307298699509147,0.021481314635159343,1.6204559722983724e-06,2.8841638450465338e-06,0.0,0.0,0.0,0.0
1.0226130653266332,0.0032511219470217623,0.0324227323682067,2.46947743839222e-06,4.361563987613699e-06,0.008413299407894675,0.007232538338985149,0.000884008778717478,0.08932664141277452,1.0226130653266332,0.0032511219470218664,0.03242273236820714,2.4694774383922943e-06,4.361563987613807e-06,0.0,0.0,0.0,0.0
1.0301507537688441,0.004448603939351252,0.043820321859139644,3.37437008293424e-06,5.90973561378553e-06,0.011315877365805346,0.00941280223128392,0.0011826294024388818,0.11205424658568558,1.0301507537688441,0.0044486039393511825,0.04382032185913887,3.3743700829341993e-06,5.909735613785421e-06,0.0,0.0,0.0,0.0
1.0376884422110553,0.005752370361125955,0.0558806304585977,4.358007292477218e-06,7.558997514573991e-06,0.014268333915971654,0.011488315829408305,0.0014832521105697764,0.13209701616512856,1.0376884422110553,0.0057523703611259275,0.05588063045859748,4.358007292477204e-06,7.558997514573937e-06,0.0,0.0,0.0,0.0
1.0452261306532664,0.007190343826038198,0.0687774739896756,5.443908270345174e-06,9.33481134242543e-06,0.017271154519220844,0.01346481867369715,0.0017858932118315282,0.14983291035559035,1.0452261306532664,0.007190343826038101,0.06877747398967538,5.443908270345079e-06,9.334811342425376e-06,0.0,0.0,0.0,0.0
1.0527638190954773,0.00878833569956678,0.08264509861305847,6.656329515528374e-06,1.1256625521012471e-05,0.020324825796416396,0.015347697637553316,0.0020905692618383223,0.1655781992340181,1.0527638190954773,0.008788335699566836,0.08264509861306113,6.6563295155284144e-06,1.1256625521012688e-05,0.0,0.0,0.0,0.0
1.0603015075376885,0.010568740813892877,0.09756951833933702,8.020142264488263e-06,1.3336424828226467e-05,0.02342983552283448,0.017142010910368814,0.002397297064601924,0.17959882703164542,1.0603015075376885,0.010568740813892849,0.09756951833933658,8.020142264488243e-06,1.333642482822644e-05,0.0,0.0,0.0,0.0
1.0678391959798994,0.012548846563426613,0.11357949384776345,9.560463342959327e-06,1.5577252221936686e-05,0.026586672622606916,0.01885251019438198,0.0027060936740866508,0.1921194635077854,1.0678391959798994,0.012548846563426704,0.11357949384776478,9.560463342959435e-06,1.5577252221936794e-05,0.0,0.0,0.0,0.0
