lambda1,P11_Pow(I1),P11_Pow(I2),P11_Cosh(I1),P11_Cosh(I2),P11_Sinh(I1),P11_Sinh(I2),P11_Cosh(I4),P11_Cosh(I6),P11_Sinh(I4),P11_Sinh(I6),lambda2,P22_Pow(I1),P22_Pow(I2),P22_Cosh(I1),P22_Cosh(I2),P22_Sinh(I1),P22_Sinh(I2),P22_Cosh(I4),P22_Cosh(I6),P22_Sinh(I4),P22_Sinh(I6)
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.002020202020202,1.8550299356907947e-11,1.401995179876006e-11,3.5904295439477394e-12,7.690484759098802e-13,1.5903869917311845e-12,5.508995509434708e-13,1.823434001918052e-07,1.7824148451910193e-05,6.687344099381379e-07,0.0006857078760406365,1.002020202020202,2.782544903536192e-12,2.102992769814009e-12,5.385644315921609e-13,1.1535727138648203e-13,2.385580487596777e-13,8.2634932638671e-14,0.0,0.0,0.0,0.0
1.004040404040404,6.761833261892232e-10,6.592141029759348e-10,1.1814726613532035e-10,3.511197925758494e-11,6.241341002412343e-11,2.7549535632562787e-11,3.666042666418595e-07,3.449493970686879e-05,1.3380580487429023e-06,0.0013612026316274367,1.004040404040404,1.014274989293438e-10,9.888211545085408e-11,1.7722089920549515e-11,5.266796888882587e-12,9.362011503826568e-12,4.132430345063619e-12,0.0,0.0,0.0,0.0
1.006060606060606,5.5307838382356295e-09,6.244025958763001e-09,9.102585845872867e-10,3.269096227522672e-10,5.330231572111657e-10,2.7051427372842384e-10,5.527931174774046e-07,5.0073367936692656e-05,2.0079703905801426e-06,0.0020267078082791823,1.006060606060606,8.296175757213684e-10,9.366038937955954e-10,1.365387876859426e-10,4.903644341157271e-11,7.995347358049113e-11,4.057714105816773e-11,0.0,0.0,0.0,0.0
1.0080808080808081,2.4535347217547246e-08,3.069118627128224e-08,3.8703420639643985e-09,1.587402766180298e-09,2.4380524848179624e-09,1.364012186579168e-09,7.409205019606231e-07,6.461732862989472e-05,2.6784709129254252e-06,0.002682440245131465,1.0080808080808081,3.6803020825971047e-09,4.603677940640092e-09,5.805513095884638e-10,2.381104149249568e-10,3.657078727186201e-10,2.0460182798464964e-10,0.0,0.0,0.0,0.0
1.0101010101010102,7.784025386044351e-08,1.0530951187671022e-07,1.1881845999342908e-08,5.395656413575957e-09,7.92058425504919e-09,4.773670048093047e-09,9.309970005287374e-07,7.818177719150492e-05,3.349559096559561e-06,0.0033286103215385485,1.0101010101010102,1.167603807904884e-08,1.579642678150667e-08,1.7822768999014278e-09,8.09348462036402e-10,1.1880876382573786e-09,7.160505072129576e-10,0.0,0.0,0.0,0.0
1.0121212121212122,1.997698848193129e-07,2.878694403406317e-07,2.9686127163629397e-08,1.4636259492684452e-08,2.072497736231416e-08,1.3261097215232652e-08,1.123033224834437e-06,9.081887919057033e-05,4.0212344255638076e-06,0.00396542218988126,1.0121212121212122,2.996548272289694e-08,4.318041605118881e-08,4.452919074547934e-09,2.195438923905548e-09,3.108746604347124e-09,1.9891645822887772e-09,0.0,0.0,0.0,0.0
1.0141414141414142,4.4290661927429675e-07,6.726669847869241e-07,6.434114895138614e-08,3.39792176844632e-08,4.670701564398692e-08,3.141171162538644e-08,1.3170398177861897e-06,0.00010257815271399482,4.693496387315506e-06,0.004593073999008809,1.0141414141414142,6.643599289114451e-08,1.0090004771803863e-07,9.651172342713513e-09,5.0968826526694805e-09,7.006052346598038e-09,4.711756743807967e-09,0.0,0.0,0.0,0.0
1.0161616161616163,8.82242903888336e-07,1.4013552585289523e-06,1.2567313714388825e-07,7.03917204827859e-08,9.436448996669628e-08,6.621373891551801e-08,1.513027453588761e-06,0.00011350660325879157,5.366344472483445e-06,0.005211758108721688,1.0161616161616163,1.3233643558340815e-07,2.1020328878011695e-07,1.8850970571600178e-08,1.0558758072441263e-08,1.4154673495024264e-08,9.932060837349453e-09,0.0,0.0,0.0,0.0
1.018181818181818,1.6193754930701822e-06,2.674376425211321e-06,2.2672078262647124e-07,1.3367410239809215e-07,1.7538345876754576e-07,1.27679183829574e-07,1.7110068377837627e-06,0.00012364885156990795,6.039778175023525e-06,0.005821661295684573,1.018181818181818,2.429063239605273e-07,4.0115646378169813e-07,3.400811739397069e-08,2.0051115359713822e-08,2.6307518815131865e-08,1.9151877574427833e-08,0.0,0.0,0.0,0.0
1.02020202020202,2.7867236944936903e-06,4.762862006624727e-06,3.841718265598778e-07,2.3701401764231598e-07,3.0519669948582914e-07,2.2949927799947845e-07,1.9109887072904334e-06,0.0001330472548073748,6.71379699217461e-06,0.006422964951139927,1.02020202020202,4.1800855417405354e-07,7.144293009931496e-07,5.762577398398168e-08,3.555210264631365e-08,4.577950492287437e-08,3.442489169988518e-08,0.0,0.0,0.0,0.0
1.0222222222222221,4.551758385466642e-06,8.020894322773985e-06,6.187920115248551e-07,3.975540366843025e-07,5.03551691163229e-07,3.897281493882396e-07,2.1129838304462245e-06,0.00014174202140456772,7.388400424453948e-06,0.007015845270774507,1.0222222222222221,6.827637578199963e-07,1.203134148416098e-06,9.281880172872826e-08,5.963310550264538e-08,7.55327536744563e-08,5.8459222408235945e-08,0.0,0.0,0.0,0.0
1.0242424242424242,7.121231925392441e-06,1.2898040402461603e-05,9.55846476841775e-07,6.369687519962142e-07,7.950860452425785e-07,6.314894094019085e-07,2.3170030070477964e-06,0.0001497713199587634,8.063587975653673e-06,0.007600473437077412,1.0242424242424242,1.0681847888088661e-06,1.9347060603706543e-06,1.433769715262378e-07,9.554531279949556e-08,1.192629067863868e-07,9.47234114103329e-08,0.0,0.0,0.0,0.0
1.0262626262626262,1.0745401490334637e-05,1.9952084112457557e-05,1.4255137393767534e-06,9.820481558745329e-07,1.2099087225201967e-06,9.837011085299949e-07,2.523057068391956e-06,0.00015717138247576607,8.739359152836037e-06,0.00817701579450978,1.0262626262626262,1.6118102235501956e-06,2.9928126168672283e-06,2.13827060906513e-07,1.4730722338109645e-07,1.814863083780295e-07,1.47555166279406e-07,0.0,0.0,0.0,0.0
1.0282828282828282,1.5722240133264794e-05,2.9861893757092648e-05,2.063292444332111e-06,1.465284587704757e-06,1.7841856922977486e-06,1.4818151267408387e-06,2.731156877316669e-06,0.00016397660227220686,9.415713466330317e-06,0.008745634017793685,1.0282828282828282,2.3583360199901873e-06,4.479284063559664e-06,3.0949386664981614e-07,2.197926881554967e-07,2.676278538446623e-07,2.2227226901092306e-07,0.0,0.0,0.0,0.0
1.0303030303030303,2.2401631226785415e-05,4.344037178290715e-05,2.9104011005747918e-06,2.125460980407933e-06,2.5607289368535943e-06,2.1685675766903246e-06,2.9413133282422584e-06,0.00017021962682197564,1.0092650429728317e-05,0.009306485273612573,1.0303030303030303,3.360244684017231e-06,6.516055767430661e-06,4.365601650860513e-07,3.188191470609146e-07,3.841093405279616e-07,3.252851365032896e-07,0.0,0.0,0.0,0.0
